NAMA BARANG,MERK,KONDISI,LOKASI,TANGGAL DITERIMA
Digital Multimeter (Alat Ukur Universal),Digital Multimeter Fluke 15B Plus-AC DC,Baik,Sambikerep,2024-12-13
Tool Set,Toolkitset CHROME VANADIUM 187Pcs,Baik,Sambikerep,2023-04-11
Mesin Penghisap Debu/Vacuum Cleaner,Vacum Cleaner Multi Pro VC30-1 RL,Baik,Sambikerep,2024-11-22
Penangkal Petir,Grounding Tx Sambi Kerep TVRI Jatim,Baik,Sambikerep,2023-07-18
Televisi,LED TV Samsung Smart 32 Inch UA32T4500,Baik,Sambikerep,2023-04-11
Televisi,LED TV Samsung Smart 32 Inch UA32T4500,Baik,Sambikerep,2023-04-11
Encoder/Decoder,Ateme Kryion CM5000 SN 2050-00665,Baik,Sambikerep,2021-09-10
Unit Pemancar UHF Stationary,"Rochde & Schwartz / THU 9,2065,1240.30-103682-da",Baik,Sambikerep,2019-12-27
Peralatan Pemancar Lainnya,Alat Ukur Suhu Ruangan / CO2 Detector,Baik,Sambikerep,2024-11-22
Peralatan Pemancar Lainnya,Alat Ukur Suhu Ruangan / CO2 Detector,Baik,Sambikerep,2024-11-22
Peralatan Antena Penerima UHF,Antenna Outdoor Yagi,Baik,Sambikerep,2018-06-06
Digital Multimeter (Alat Ukur Universal),Digital Multimeter Fluke 15B Plus-AC DC,Baik,Gn. Gending,2024-12-13
Test Signal Generator,Test Signal Generator (TSG) Promax GV698,Baik,Gn. Gending,2018-12-31
Penangkal Petir,Grounding System Gn Gending,Baik,Gn. Gending,2021-06-02
Penangkal Petir,Grounding Tx Gn Gending TVRI Jatim,Baik,Gn. Gending,2023-10-17
Mesin Pemotong Rumput,Mesin Potong Rumput Yamamax Pro YX35,Baik,Gn. Gending,2024-11-22
Audio Amplifier,"Audio Amplifier ""Audio Pole PX-360""",Baik,Gn. Gending,2018-12-31
Audio Distribution,Audio Distributor Kramer Electronics VM-1110XL,Baik,Gn. Gending,2018-12-31
Audio Distribution,Audio Distributor Kramer Electronics VM-1110XL,Baik,Gn. Gending,2018-12-31
Audio Distribution,Audio Distributor Kramer Electronics VM-1110XL,Baik,Gn. Gending,2018-12-31
Audio Distribution,Audio Distributor Kramer Electronics VM-1110XL,Baik,Gn. Gending,2018-12-31
Audio Limiter,DBX 166 XSV-EU,Baik,Gn. Gending,2018-12-31
Audio Limiter,DBX 166 XSV-EU,Baik,Gn. Gending,2018-12-31
Audio Patch Panel,GHIELMETTI ASF 1X24,Baik,Gn. Gending,2018-12-31
Audio Monitor Active,Speakers JBL Control-1 Pro,Baik,Gn. Gending,2018-12-31
Uninterruptible Power Supply (UPS),SOCOMEC Masterys BC,Baik,Gn. Gending,2018-12-31
Automatic Voltage Regulator (AVR),AVR 25 KVA,Baik,Gn. Gending,2018-12-31
Automatic Voltage Regulator (AVR),AVR Smart 30 Kva,Baik,Gn. Gending,2023-10-18
Video Monitor,Video Monitor Samsung UE19H4000,Baik,Gn. Gending,2018-12-31
Video Monitor,Combined Waveform/Vector Scope Tektronix 1741C,Baik,Gn. Gending,2018-12-31
Video Patch Panel,CANAREE 12 DV-1U,Baik,Gn. Gending,2018-12-31
Rak Peralatan,"Wired Rack 19"" PIE Thomson",Baik,Gn. Gending,2018-12-31
Antene UHF Stationary,Antenna 2m40 dan C-Band LNB,Baik,Gn. Gending,2018-12-31
Peralatan Dummy Load Lainnya,Peralatan Dummy Load Lainnya,Baik,Gn. Gending,2017-12-31
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Coaxial Feeder,RFS LCF 158,Baik,Gn. Gending,2013-01-22
Switcher/Patch Panel,RF patch panel AUVIDIS PA1915C-BNC50-103D-S,Baik,Gn. Gending,2018-12-31
Power transmitter,Transmitter 2 kw Multicast,Baik,Gn. Gending,2018-12-31
Peralatan Antena Pemancar dan Penerima UHF Lainnya,Peralatan Antena Pemancar dan Penerima UHF Lainnya,Baik,Gn. Gending,2017-12-31
Genset,Genset,Baik,Gn. Gending,2017-12-31
Peralatan Pemancar Lainnya,TV Demodulator Showman 1000,Baik,Gn. Gending,2018-12-31
Peralatan Pemancar Lainnya,Harmonic?s ProView? 7100,Baik,Gn. Gending,2020-09-19
Peralatan Pemancar Lainnya,Harmonic?s ProView? 7100,Baik,Gn. Gending,2020-09-19
Peralatan Pemancar Lainnya,Peralatan Pemancar Lainnya,Baik,Gn. Gending,2018-12-31
Peralatan Pemancar Lainnya,Peralatan Pemancar Lainnya,Baik,Gn. Gending,2018-12-31
Digital Multimeter (Alat Ukur Universal),Digital Multimeter Fluke 15B Plus-AC DC,Baik,Cemorosewu,2024-12-13
Test Signal Generator,Test Signal Generator (TSG) Promax GV698,Baik,Cemorosewu,2018-12-31
Televisi,"Samsung 32""",Baik,Cemorosewu,2013-12-09
Televisi,Televisi,Baik,Cemorosewu,2017-09-29
Televisi,Smart TV SAMSUNG 32 inch,Baik,Cemorosewu,2022-03-10
Amplifier,,Baik,Cemorosewu,1999-12-31
Video Distribution Amplifier,Video Distributor Kramer Electronics VM-80V,Baik,Cemorosewu,2018-12-31
Video Distribution Amplifier,Video Distributor Kramer Electronics VM-80V,Baik,Cemorosewu,2018-12-31
Video Monitor,"Video Monitor ""Samsung UE19H4000""",Baik,Cemorosewu,2018-12-31
Video Monitor,Combined Waveform/Vector Scope Tektronix 1741C,Baik,Cemorosewu,2018-12-31
Rak Peralatan,"Wired Rack 19"" PIE ""Thomson""",Baik,Cemorosewu,2018-12-31
